call_addr	protocol_id	size	function	source
0x180173890	0x01DB	?	KPlayerClient::DoGetSMSCode	JX3LogicEditOperationX64.dll
0x18017391c	0x0138	0xF	KPlayerClient::DoGetSimplePlayerInfoRequest	JX3LogicEditOperationX64.dll
0x1801739ac	0x00A1	0xF	KPlayerClient::DoGetTongDescriptionRequest	JX3LogicEditOperationX64.dll
0x180173aee	0x01BB	?	KPlayerClient::DoGlobalRoomMsgNotify	JX3LogicEditOperationX64.dll
0x180173bda	0x0034	?	KPlayerClient::DoGmCommand	JX3LogicEditOperationX64.dll
0x180173c32	0x01DF	?	KPlayerClient::DoHomelandMsgNotify	JX3LogicEditOperationX64.dll
0x180173dae	0x017A	?	KPlayerClient::DoHomelandMsgNotify	JX3LogicEditOperationX64.dll
0x180173e34	0x008D	?	KPlayerClient::DoHomelandMsgNotify	JX3LogicEditOperationX64.dll
0x180173e91	0x0133	?	KPlayerClient::DoInviteEmotionActionRespond	JX3LogicEditOperationX64.dll
0x180173fce	0x0021	0x33	KPlayerClient::DoInviteJoinTeamRequest	JX3LogicEditOperationX64.dll
0x18017408d	0x0022	0x2F	KPlayerClient::DoInviteJoinTeamRespond	JX3LogicEditOperationX64.dll
0x180174174	0x0097	0x2B	KPlayerClient::DoInvitePlayerJoinTongRequest	JX3LogicEditOperationX64.dll
0x18017421d	0x0098	0x14	KPlayerClient::DoInvitePlayerJoinTongRespond	JX3LogicEditOperationX64.dll
0x180174303	0x00F9	?	KPlayerClient::DoItemRestoreListRequest	JX3LogicEditOperationX64.dll
0x1801743b0	0x0085	?	KPlayerClient::DoItemRestoreListRequest	JX3LogicEditOperationX64.dll
0x180174411	0x014A	?	KPlayerClient::DoJoinArenaVisitorQueueRequest	JX3LogicEditOperationX64.dll
0x1801744b3	0x007D	?	KPlayerClient::DoJoinArenaVisitorQueueRequest	JX3LogicEditOperationX64.dll
0x180174522	0x016F	0x1C	KPlayerClient::DoJoinCoinShopGrouponRequest	JX3LogicEditOperationX64.dll
0x1801745ae	0x0081	?	KPlayerClient::DoJoinCoinShopGrouponRequest	JX3LogicEditOperationX64.dll
0x180174700	0x0081	?	KPlayerClient::DoKickoutTeamMember	JX3LogicEditOperationX64.dll
0x18017476a	0x0088	?	KPlayerClient::DoKickoutTeamMember	JX3LogicEditOperationX64.dll
0x1801747ba	0x0086	?	KPlayerClient::DoKickoutTeamMember	JX3LogicEditOperationX64.dll
0x180174808	0x014B	?	KPlayerClient::DoLeaveArenaVisitorQueueRequest	JX3LogicEditOperationX64.dll
0x18017489a	0x0080	?	KPlayerClient::DoLeaveArenaVisitorQueueRequest	JX3LogicEditOperationX64.dll
0x1801748ee	0x007E	?	KPlayerClient::DoLeaveArenaVisitorQueueRequest	JX3LogicEditOperationX64.dll
0x180174951	0x0117	?	KPlayerClient::DoLeaveMapQueue	JX3LogicEditOperationX64.dll
0x180174a61	0x0117	?	KPlayerClient::DoLeaveTeamRequest	JX3LogicEditOperationX64.dll
0x180174aca	0x0084	?	KPlayerClient::DoLeaveTeamRequest	JX3LogicEditOperationX64.dll
0x180174b1a	0x0082	?	KPlayerClient::DoLeaveTeamRequest	JX3LogicEditOperationX64.dll
0x180174b81	0x012A	0x1B	KPlayerClient::DoLogAddFriendByRecommend	JX3LogicEditOperationX64.dll
0x180174c30	0x0111	0x33	KPlayerClient::DoLogFaceLiftCostTime	JX3LogicEditOperationX64.dll
0x180174cbc	0x00E3	0xF	KPlayerClient::DoLogFaceLiftCostTime	JX3LogicEditOperationX64.dll
0x180174d4c	0x010F	0xF	KPlayerClient::DoLogFreeTryOnAdOperation	JX3LogicEditOperationX64.dll
0x180174ddc	0x0110	0xF	KPlayerClient::DoLogOpenCoinShopInterface	JX3LogicEditOperationX64.dll
0x180174eb4	0x0112	0xAF	KPlayerClient::DoLogPeekOtherPlayer	JX3LogicEditOperationX64.dll
0x180174f5c	0x0113	0x16	KPlayerClient::DoLogPreviewExterior	JX3LogicEditOperationX64.dll
0x180174ff3	0x004B	?	KPlayerClient::DoLogPreviewExterior	JX3LogicEditOperationX64.dll
